Fecha,Temperatura
2012-01-01 00:00:00.0,20.05
2015-12-04 00:00:00.0,-999.99
2012-01-03 00:00:00.0,19.36042
2012-01-04 00:00:00.0,19.10764
2012-01-05 00:00:00.0,21.60903
2012-01-06 00:00:00.0,21.66389
2012-01-07 00:00:00.0,23.99652
2019-02-20 00:00:00.0,N/A
2011-08-14 00:00:00.0,N/A
2012-01-10 00:00:00.0,11.84236
2012-01-11 00:00:00.0,13.06458
2012-01-12 00:00:00.0,16.57083
2019-09-15 00:00:00.0,-999.99
2017-09-23 00:00:00.0,N/A
2020-05-25 00:00:00.0,N/A
2018-01-08 00:00:00.0,-999.99
2012-01-17 00:00:00.0,20.84861
2012-01-18 00:00:00.0,19.16042
2012-01-19 00:00:00.0,20.56806
2012-01-20 00:00:00.0,19.3882
2012-01-21 00:00:00.0,18.30694
2012-01-22 00:00:00.0,17.65417
2012-01-23 00:00:00.0,15.16111
2012-01-24 00:00:00.0,17.44931
2012-01-25 00:00:00.0,17.40625
2012-01-26 00:00:00.0,20.08334
2012-01-27 00:00:00.0,19.18611
2012-01-28 00:00:00.0,16.84236
2012-01-29 00:00:00.0,13.48334
2012-01-30 00:00:00.0,11.89167
2012-01-31 00:00:00.0,11.73611
2012-02-01 00:00:00.0,14.11458
2012-02-02 00:00:00.0,13.94584
2014-10-25 00:00:00.0,-999.99
2012-02-04 00:00:00.0,14.26458
2012-02-05 00:00:00.0,15.00486
2012-02-06 00:00:00.0,16.83472
2016-01-24 00:00:00.0,-999.99
2012-02-08 00:00:00.0,15.38889
2012-02-09 00:00:00.0,14.23681
2012-02-10 00:00:00.0,17.9625
2012-02-11 00:00:00.0,19.92986
2012-02-12 00:00:00.0,19.0507
2012-02-13 00:00:00.0,15.58403
2012-02-14 00:00:00.0,14.20486
2012-02-15 00:00:00.0,15.16736
2012-02-16 00:00:00.0,16.88056
2012-02-17 00:00:00.0,14.88403
2012-02-18 00:00:00.0,15.45278
2012-02-19 00:00:00.0,14.60486
2012-02-20 00:00:00.0,13.20139
2012-02-21 00:00:00.0,10.75972
2012-02-22 00:00:00.0,13.80208
2012-02-23 00:00:00.0,11.91458
2012-02-24 00:00:00.0,12.37014
2012-02-25 00:00:00.0,12.84028
2015-11-18 00:00:00.0,-999.99
2015-06-23 00:00:00.0,N/A
2012-02-28 00:00:00.0,12.06736
2012-02-29 00:00:00.0,12.94444
2012-03-01 00:00:00.0,12.94097
2012-03-02 00:00:00.0,14.38958
2012-03-03 00:00:00.0,14.64583
2012-03-04 00:00:00.0,15.68055
2012-03-05 00:00:00.0,12.11111
2012-03-06 00:00:00.0,10.75834
2012-03-07 00:00:00.0,12.34722
2012-03-08 00:00:00.0,16.69236
2012-03-09 00:00:00.0,17.09445
2012-03-10 00:00:00.0,14.76111
2012-03-11 00:00:00.0,14.06389
2012-03-12 00:00:00.0,13.29722
2012-03-13 00:00:00.0,13.96181
2012-03-14 00:00:00.0,12.79861
2012-03-15 00:00:00.0,12.87847
2012-03-16 00:00:00.0,14.27014
2012-03-17 00:00:00.0,16.4
2012-03-18 00:00:00.0,13.3618
2012-03-19 00:00:00.0,13.13403
2019-07-06 00:00:00.0,-999.99
2012-03-21 00:00:00.0,15.05555
2012-03-22 00:00:00.0,11.75278
2012-03-23 00:00:00.0,11.8375
2012-03-24 00:00:00.0,13.07431
2012-03-25 00:00:00.0,11.34653
2012-03-26 00:00:00.0,10.47014
2012-03-27 00:00:00.0,8.436805
2020-02-19 00:00:00.0,-999.99
2012-03-29 00:00:00.0,12.27014
2012-03-30 00:00:00.0,12.4
2012-03-31 00:00:00.0,14.26667
2012-04-01 00:00:00.0,13.50209
2012-04-02 00:00:00.0,9.202776
2013-01-03 00:00:00.0,N/A
2020-07-13 00:00:00.0,-999.99
2018-07-01 00:00:00.0,N/A
2012-04-06 00:00:00.0,13.20625
2012-04-07 00:00:00.0,14.01528
2015-08-15 00:00:00.0,-999.99
2015-08-06 00:00:00.0,N/A
2012-04-10 00:00:00.0,8.529165
2012-04-11 00:00:00.0,8.412501
2014-09-07 00:00:00.0,-999.99
2012-04-13 00:00:00.0,12.34584
2012-04-14 00:00:00.0,10.30208
2012-04-15 00:00:00.0,11.71736
2012-04-16 00:00:00.0,10.25417
2012-04-17 00:00:00.0,11.56666
2012-04-18 00:00:00.0,11.41736
2018-02-16 00:00:00.0,N/A
2018-01-27 00:00:00.0,-999.99
2012-04-21 00:00:00.0,7.929862
2012-04-22 00:00:00.0,7.958333
2012-04-23 00:00:00.0,7.764582
2012-04-24 00:00:00.0,6.928472
2012-04-25 00:00:00.0,5.796527
2012-04-26 00:00:00.0,3.727777
2013-10-27 00:00:00.0,N/A
2012-04-28 00:00:00.0,6.315277
2012-04-29 00:00:00.0,10.81319
2012-04-30 00:00:00.0,11.59236
2018-02-06 00:00:00.0,-999.99
2012-05-02 00:00:00.0,10.69792
2012-05-03 00:00:00.0,11.3882
2012-05-04 00:00:00.0,10.1125
2016-12-17 00:00:00.0,-999.99
2019-04-03 00:00:00.0,N/A
2015-04-29 00:00:00.0,-999.99
2012-05-08 00:00:00.0,6.153471
2012-05-09 00:00:00.0,9.552086
2012-05-10 00:00:00.0,9.043746
2012-05-11 00:00:00.0,8.33611
2012-05-12 00:00:00.0,3.983335
2012-05-13 00:00:00.0,7.613193
